"X1","店名","地址","店名是否包含搜索关键词","区县镇"
"珠海市盒马鲜生","盒马鲜生(龙岗锦荟店)","锦荟PARK一层",1,NA
"珠海市美团买菜","美团专送","广东省珠海市香洲区银发路13号",1,"珠海香洲区"
"珠海市美团买菜","美团外卖美团专送","广东省珠海市斗门区永福一路",1,"珠海斗门区"
"珠海市美团买菜","美团专送","广东省珠海市香洲区粤海西路102号北80米",1,"珠海香洲区"
"珠海市美团买菜","美团专送","珠海市金湾区永泰路与双湖路交叉路口往西约50米(永泰假日公馆)",1,"珠海金湾区"
"珠海市美团买菜","美团专送","珠海市香洲区明园路(惠景文园东北侧约50米)",1,"珠海香洲区"
"珠海市美团买菜","美团专送","珠海市金湾区映月路与榕月路交叉路口往东北约150米(万宝名轩)",1,"珠海金湾区"
"珠海市美团买菜","美团外卖美团专送(岭景小区店)",NA,1,NA
"珠海市美团买菜","美团外卖(广生南街店)","广东省珠海市香洲区广生南街85号",1,"珠海香洲区"
"珠海市美团买菜","美团外卖(翠香路店)","广东省珠海市香洲区翠香路37号",1,"珠海香洲区"
"珠海市美团买菜","美团外卖(北山路店)",NA,1,NA
"珠海市美团买菜","美团外卖站点","广东省珠海市香洲区人民东路526号",1,"珠海香洲区"
"珠海市美团买菜","美团专送(水仙花园店)","广东省珠海市香洲区环屏路32号",1,"珠海香洲区"
"汕头市美团买菜","美团专送","汕头市龙湖区兴绵街(珠池小学西侧)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市龙湖区丽日街(丽日庄-东区)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市龙湖区朝阳东街与朝阳北街交叉路口东北侧(星洲家园)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市龙湖区汕汾路与外砂迎宾路交叉路口往东北约100米(蓬中华侨学校西北侧)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市龙湖区碧霞北街与华山南路交叉路口东侧(碧霞庄中区)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市龙湖区大北山路与练江北一路交叉路口往南约50米(瑞华雅庭)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","广东省汕头市金平区新厦路7号",1,"汕头金平区"
"汕头市美团买菜","美团专送","汕头市龙湖区金环南路与金园路交叉路口东南侧(建南花园)",1,"汕头龙湖区"
"汕头市美团买菜","美团专送","汕头市潮阳区",1,"汕头潮阳区"
"汕头市美团买菜","美团配送","广东省汕头市龙湖区兴德街129号南50米",1,"汕头龙湖区"
"汕头市美团买菜","美团外卖(新厦路店)","广东省汕头市金平区品牌街30号",1,"汕头金平区"
"汕头市美团买菜","美团外卖(金园路店)","广东省汕头市金平区杏园街17号",1,"汕头金平区"
"汕头市美团买菜","美团外卖(珠江路店)",NA,1,NA
"汕头市美团买菜","美团外卖(中兴路店)",NA,1,NA
"韶关市美团买菜","美团专送(韶关工业站点)","广东省韶关市武江区工业中路13号附近",1,"韶关市区"
"韶关市美团买菜","美团外卖(亿华明珠城店)","广东省韶关市曲江区友谊路1号",1,"韶关市区"
"韶关市美团买菜","美团专卖","韶关市浈江区聆韶路(碧桂园·水木春华西侧约50米)",1,"韶关市区"
"韶关市美团买菜","美团外卖(龙英路店)",NA,1,NA
"韶关市美团买菜","美团外卖(排岗下路店)",NA,1,NA
"河源市美团买菜","美团外卖(河源店)","广东省河源市源城区中山大道北309号",1,"河源源城区"
"河源市美团买菜","美团外卖(河源六站区)",NA,1,NA
"河源市美团买菜","美团外卖(高新区)","广东省河源市源城区高埔路",1,"河源源城区"
"河源市美团买菜","美团外卖站","广东省河源市源城区",1,"河源源城区"
"河源市美团买菜","龙川美团优选网格仓","广东省河源市龙川县G236",1,"河源龙川县"
"河源市美团买菜","美团外卖(A战区)",NA,1,NA
"河源市美团买菜","美团优选(东源仓)","广东省河源市源城区南湖中路宝豪御龙湾项目五期宿舍裙楼仓库B区(南湖居委会对面)",1,"河源源城区"
"河源市美团买菜","美团外卖(新华路店)","河源市和平县新华路(和平中学东侧约50米)",1,"河源和平县"
"河源市美团买菜","美团优选(龙川县服务中心)","广东省河源市龙川县老隆大道205号",1,"河源龙川县"
"河源市美团买菜","美团外卖(新忠路店)",NA,1,NA
"河源市美团买菜","美团外卖群丰站","广东省河源市源城区红星东路",1,"河源源城区"
"河源市美团买菜","美团外卖(埔前站)","广东省河源市源城区埔前大道",1,"河源源城区"
"河源市美团买菜","美团外卖(和平站)",NA,1,NA
"河源市美团买菜","美团外卖(东园三街店)","广东省河源市连平县东园三街",1,"河源连平县"
"梅州市美团买菜","美团外卖(梅松路店)","广东省梅州市梅江区梅松路4",1,"梅州梅江区"
"梅州市美团买菜","美团外卖","广东省梅州市梅江区",1,"梅州梅江区"
"梅州市美团买菜","美团外卖(江边路店)","广东省梅州市梅江区江边路19-9",1,"梅州梅江区"
"梅州市美团买菜","美团外卖(新县城站)","广东省梅州市梅县区机场路",1,"梅州梅县区"
"梅州市美团买菜","美团外卖公司五华站","梅州市五华县华一南路与交通路交叉路口往西南约100米(富兴花园北侧)",1,"梅州五华县"
"梅州市美团买菜","美团外卖(城北一路店)","广东省梅州市兴宁市城北一路",1,"梅州兴宁市"
"梅州市美团买菜","美团外卖(客都大道店)","广东省梅州市梅江区明山路",1,"梅州梅江区"
"梅州市美团买菜","美团外卖(交通路店)",NA,1,NA
"梅州市美团买菜","美团外卖(人民南路店)","梅州市梅县区人民南路(鸿禧雅苑西侧)",1,"梅州梅县区"
"梅州市美团买菜","美团外卖(怡华路店)","梅州市兴宁市怡华路与怡苑路交叉路口东北侧(怡福花园)",1,"梅州兴宁市"
"梅州市美团买菜","美团外卖(汤坑路店)","梅州市丰顺县汤坑路(南湖商贸城南侧)",1,"梅州丰顺县"
"梅州市美团买菜","美团外卖(梅州市传奇江北站点)","广东省梅州市梅江区五洲城天兴商业广场A栋21号",1,"梅州梅江区"
"梅州市美团买菜","美团外卖新世界站","广东省梅州市梅县区",1,"梅州梅县区"
"梅州市美团买菜","美团外卖(水寨大道店)","广东省梅州市五华县水寨大道中路8号南50米",1,"梅州五华县"
"梅州市美团买菜","美团外卖(城东路店)","梅州市大埔县城东路与文明路交叉路口东侧(东兴雅苑东南侧约100米)",1,"梅州大埔县"
"梅州市美团买菜","美团外卖(城西一横街店)","广东省梅州市平远县城西一横街",1,"梅州平远县"
"梅州市美团买菜","美团外卖(顺达街店)","梅州市丰顺县顺达街与滨河六横街交叉路口南侧(滨江湾花园东侧约100米)",1,"梅州丰顺县"
"梅州市美团买菜","美团外卖(进华路店)","梅州市丰顺县进华路与烟汕线交叉路口往西南约50米(颐源居西南侧约150米)",1,"梅州丰顺县"
"惠州市美团买菜","美团专送","广东省惠州市惠城区人民北一路93号附近",1,"惠州惠城区"
"惠州市美团买菜","美团外卖(惠东县)",NA,1,NA
"惠州市美团买菜","美团专送","惠州市惠城区大田路与新岗北一路交叉路口往东约100米(城市绿兴)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区新岸路17号附近",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区惠州大道(国立·美寓)",1,"惠州惠城区"
"惠州市美团买菜","美团外卖美团专送","广东省惠州市惠城区云山东二巷",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区龙湖三路二街",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区花边北路(德赛丘屋塘小区南侧)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区青年路(怡美嘉园西北侧)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区新沥路(天泽名居东南侧)",1,"惠州惠城区"
