搜索关键词,店名,地址,X4,地址配经纬度再查地址,名称配经纬度查地址2,地址连接,区县镇
珠海市 超市,华润万家(弘桥商城店),南湾北路45号弘桥商城F2层,0,广东省珠海市香洲区南湾北路45号-南50米,,南湾北路45号弘桥商城F2层广东省珠海市香洲区南湾北路45号-南50米,珠海香洲区
珠海市 超市,华润万家(新香洲店),广东省珠海市香洲区人民西路808号,0,广东省珠海市香洲区人民西路808号,,广东省珠海市香洲区人民西路808号广东省珠海市香洲区人民西路808号,珠海香洲区
珠海市 超市,永旺(珠海扬名广场店),珠海市香洲区凤凰南路1088号扬名广场2-4层,0,广东省珠海市香洲区凤凰南路1088号,,珠海市香洲区凤凰南路1088号扬名广场2-4层广东省珠海市香洲区凤凰南路1088号,珠海香洲区
珠海市 超市,沃尔玛购物广场(摩尔广场店),珠海市香洲区迎宾南路2095号珠海摩尔广场B1,0,,,珠海市香洲区迎宾南路2095号珠海摩尔广场B1,珠海香洲区
珠海市 超市,华润万家便利超市(新世纪广场店),广东省珠海市香洲区南屏镇昌盛路376号新世纪广场,0,,,广东省珠海市香洲区南屏镇昌盛路376号新世纪广场,珠海香洲区
珠海市 超市,华润万家(南屏店),珠海市香洲区南屏镇珠海大道33号天朗海峰国际商贸中心,0,广东省珠海市香洲区仙桥路,,珠海市香洲区南屏镇珠海大道33号天朗海峰国际商贸中心广东省珠海市香洲区仙桥路,珠海香洲区
珠海市 超市,华润万家(前山店),珠海市香洲区明珠南路1389号新美百货F2,0,广东省珠海市香洲区明珠南路1389号-4层,,珠海市香洲区明珠南路1389号新美百货F2广东省珠海市香洲区明珠南路1389号-4层,珠海香洲区
珠海市 超市,天虹超市(香洲玖洲道店),广东省珠海市香洲区九洲大道西2108号兰埔花园三期负一层,0,广东省珠海市香洲区环村街15巷-12号,,广东省珠海市香洲区九洲大道西2108号兰埔花园三期负一层广东省珠海市香洲区环村街15巷-12号,珠海香洲区
珠海市 超市,前山百货,前山路32号-2楼,0,广东省珠海市香洲区前山路32号-2楼,,前山路32号-2楼广东省珠海市香洲区前山路32号-2楼,珠海香洲区
珠海市 超市,华润万家(柠溪店),珠海市香洲区北环街74号(兴柠街),0,广东省珠海市香洲区兴柠街80,,珠海市香洲区北环街74号(兴柠街)广东省珠海市香洲区兴柠街80,珠海香洲区
珠海市 超市,得一超市(前山店),珠海市香洲区前山路74号,0,,,珠海市香洲区前山路74号,珠海香洲区
珠海市 超市,夏湾购物市场,夏湾路208号,0,广东省珠海市香洲区夏湾路230号,,夏湾路208号广东省珠海市香洲区夏湾路230号,珠海香洲区
